Mean time,Standard deviation
0.0175299,0.0188251

Raw measurements

Timestamp,Measurement
1,0.0658932
2,0.0656768
3,0.0132919
4,0.0131341
5,0.0117904
6,0.0628885
7,0.066556
8,0.061774
9,0.0091847
10,0.00867665
11,0.00970472
12,0.0088182
13,0.00851029
14,0.00907265
15,0.00825455
16,0.00849104
17,0.00830886
18,0.00876389
19,0.00886738
20,0.00882119
21,0.00861635
22,0.00845469
23,0.00821863
24,0.00843716
25,0.00846025
26,0.0120149
27,0.0133748
28,0.0122954
29,0.0125311
30,0.0125773
31,0.0126927
32,0.012165
33,0.0119781
34,0.0121813
35,0.063326
36,0.012786
37,0.0129951
38,0.00836574
39,0.00876047
40,0.0086574
41,0.0085894
42,0.00840765
43,0.00851157
44,0.00921934
45,0.00858171
46,0.00803731
47,0.00829219
48,0.00888876
49,0.00874122
50,0.00821692
51,0.00849703
52,0.00834735
53,0.00878228
54,0.0605787
55,0.00977229
56,0.0147356
57,0.013244
58,0.0141489
59,0.0639807
60,0.01312
61,0.064789
62,0.0122715
63,0.0123515
64,0.0122386
65,0.0652132
66,0.0127795
67,0.0127436
68,0.00846795
69,0.0087857
70,0.00868948
71,0.00896103
72,0.00915006
73,0.00878869
74,0.00851927
75,0.00871813
76,0.00870231
77,0.0598748
78,0.0615931
79,0.0604132
80,0.00892982
81,0.00986937
82,0.00887123
83,0.00896061
84,0.00887764
85,0.00958199
86,0.0122942
87,0.0122386
88,0.012189
89,0.0126902
90,0.0645995
91,0.0133932
92,0.0128168
93,0.0126307
94,0.0132226
95,0.0647376
96,0.0136934
97,0.0130635
98,0.0596845
99,0.00859667
100,0.00844058
101,0.00851713
102,0.00875833
103,0.00866125
104,0.00879468
105,0.00926852
106,0.00906239
107,0.00925911
108,0.0609414
109,0.00957429
110,0.0100605
111,0.00919453
112,0.0601793
113,0.00896745
114,0.00873652
115,0.00899824
116,0.01296
117,0.0129326
118,0.116966
119,0.0135634
120,0.0130558
121,0.0127321
122,0.0119443
123,0.0119969
124,0.0122672
125,0.0130755
126,0.0117014
127,0.0121962
128,0.00869931
129,0.0103116
130,0.00884685
131,0.00874336
132,0.00899867
133,0.0087827
134,0.0594189
135,0.0100212
136,0.0101144
137,0.00992924
138,0.00910943
139,0.00895633
140,0.00900979
141,0.0093579
142,0.00892297
143,0.00871342
144,0.0599616
145,0.0609927
146,0.012644
147,0.01369
148,0.013879
149,0.013306
150,0.0129878
151,0.0633063
152,0.01171
153,0.0119957
154,0.0631207
155,0.0138696
156,0.0125452
157,0.0129947
158,0.00928904
159,0.00905469
160,0.0596268
161,0.00908634
162,0.00879853
163,0.00906453
164,0.00884685
165,0.0089559
166,0.0593727
167,0.00900423
168,0.0101606
169,0.0104364
170,0.00933651
171,0.0604183
172,0.00872326
173,0.00942632
174,0.0592906
175,0.00891912
176,0.0124896
177,0.0119999
178,0.0121821
179,0.0121881
180,0.0123626
181,0.0124011
182,0.0129904
183,0.012357
184,0.0121295
185,0.0121171
186,0.0120235
187,0.0118233
188,0.00894607
189,0.00903416
190,0.0091167
191,0.00892426
192,0.00865227
193,0.00853295
194,0.00868263
195,0.00909959
196,0.0086775
197,0.0611885
198,0.00947507
199,0.0095435
200,0.060636
201,0.00890929
202,0.00882504
203,0.00911969
204,0.00901706
205,0.00941392
206,0.0125247
207,0.0124019
208,0.0130597
209,0.0125957
210,0.0123485
211,0.0127449
212,0.0650934
213,0.0131371
214,0.0126508
215,0.0631823
216,0.0120889
217,0.0120666
218,0.00854236
219,0.00832683
220,0.00882932
221,0.00911884
222,0.00867408
223,0.00935747
224,0.00893153
225,0.00892554
226,0.00909361
227,0.00872583
228,0.00873652
229,0.00888064
230,0.00968248
231,0.0614332
232,0.00946695
233,0.00901834
234,0.00898669
235,0.00855861
236,0.0125606
237,0.0634448
238,0.0129155
239,0.0121642
240,0.0125965
241,0.0123878
242,0.0117331
243,0.0122745
244,0.0124079
245,0.0123861
246,0.0126431
247,0.0128424
248,0.00899054
249,0.00908035
250,0.00852568
251,0.00901064
252,0.00941349
253,0.00897643
254,0.00894393
255,0.00892041
256,0.00897429
257,0.060722
258,0.00921634
259,0.00893067
260,0.00935362
261,0.00867023
262,0.0090038
263,0.00886567
264,0.060932
265,0.0100007
266,0.0139269
267,0.0127731
268,0.0131187
269,0.0128723
270,0.0125324
271,0.0125841
272,0.06512
273,0.0651525
274,0.0635855
275,0.0138243
276,0.0128497
277,0.0128762
278,0.00885027
279,0.0094105
280,0.00931599
281,0.00870487
282,0.00871385
283,0.00897643
284,0.00901706
285,0.00948619
286,0.00917315
287,0.00900081
288,0.0606377
289,0.00875704
290,0.0599462
291,0.00929631
292,0.00924115
293,0.0100216
294,0.0091368
295,0.00956231
296,0.0130768
297,0.0645443
298,0.0141801
299,0.0657174
300,0.0139342
301,0.0122745
302,0.0647911
303,0.0653718
304,0.013303
305,0.0130353
306,0.0129262
307,0.0125734
308,0.00890373
309,0.00874037
310,0.0601019
311,0.0085475
312,0.00924885
313,0.00947507
314,0.00897429
315,0.00940537
316,0.00913081
317,0.00900466
318,0.00928733
319,0.00947636
320,0.00893324
321,0.00899097
322,0.00893794
323,0.00842176
324,0.00896745
325,0.00925911
326,0.0128095
327,0.0129989
328,0.0128347
329,0.0129553
330,0.0636364
331,0.0127804
332,0.0131888
333,0.0128317
334,0.0129382
335,0.116844
336,0.0139509
337,0.0127359
338,0.00870444
339,0.00907907
340,0.0601357
341,0.00924885
342,0.00899225
343,0.00906923
344,0.00888833
345,0.00891228
346,0.00889903
347,0.00890031
348,0.00917914
349,0.0598098
350,0.00904015
351,0.00896446
352,0.00842818
353,0.0086899
354,0.00846667
355,0.00861464
356,0.0128313
