Mean time,Standard deviation
0.00529559,0.012693

Raw measurements

Timestamp,Measurement
1,0.00585382
2,0.00184677
3,0.00182665
4,0.00876361
5,0.00411395
6,0.00193626
7,0.00159183
8,0.00165158
9,0.00181134
10,0.00168011
11,0.00179873
12,0.0520465
13,0.00204496
14,0.00164648
15,0.00193986
16,0.00160714
17,0.00159963
18,0.00160504
19,0.00190863
20,0.00193956
21,0.00178581
22,0.00188731
23,0.00180623
24,0.00199481
25,0.00196328
26,0.00183236
27,0.00199962
28,0.00182305
29,0.00184767
30,0.00194707
31,0.00186299
32,0.00172606
33,0.00155339
34,0.00160744
35,0.00167381
36,0.00169813
37,0.00189482
38,0.00158642
39,0.00167771
40,0.0517619
41,0.00193866
42,0.00310228
43,0.0026113
44,0.00224375
45,0.00188251
46,0.00189902
47,0.00193806
48,0.0519246
49,0.00253353
50,0.0017726
51,0.00180863
52,0.00167651
53,0.0513252
54,0.00184857
55,0.0517781
56,0.0018753
57,0.00188371
58,0.0016636
59,0.00154768
60,0.00188611
61,0.00188671
62,0.00170714
63,0.00163146
64,0.00160234
65,0.00195037
66,0.00213445
67,0.00169603
68,0.00189572
69,0.00193295
70,0.00183326
71,0.00182155
72,0.00181284
73,0.00190863
74,0.00193656
75,0.00194587
76,0.00196809
77,0.00183476
78,0.0513658
79,0.00180353
80,0.00161705
81,0.00171014
82,0.00164738
83,0.00181104
84,0.0018798
85,0.0017759
86,0.00186179
87,0.00179692
88,0.00194527
89,0.00194467
90,0.00184257
91,0.00193175
92,0.00165459
93,0.00158852
94,0.00158552
95,0.00182155
96,0.00191614
97,0.00188701
98,0.00191374
99,0.00173717
100,0.00174377
101,0.00169362
102,0.00159543
103,0.00163267
104,0.00183206
105,0.00179993
106,0.00191133
107,0.00183236
108,0.00171434
109,0.00178912
110,0.00183656
111,0.0515081
112,0.00175638
113,0.00159573
114,0.00161465
115,0.00182755
116,0.00175759
117,0.00182395
118,0.00176179
119,0.0017702
120,0.0515138
121,0.00180413
122,0.0018783
123,0.00186929
124,0.00190082
125,0.00182996
126,0.00182635
127,0.00185007
128,0.0017765
129,0.0017732
130,0.0511372
131,0.00197289
132,0.0518459
133,0.00181824
134,0.0518147
135,0.00158102
136,0.00164167
137,0.00206568
138,0.00166029
139,0.00199962
140,0.00195548
141,0.00170894
142,0.00190773
143,0.00171074
144,0.00179392
145,0.0517883
146,0.00193656
147,0.0017711
148,0.00188791
149,0.00196689
150,0.00226297
151,0.0019819
152,0.0018714
153,0.00202694
154,0.0519468
155,0.00193686
156,0.00206388
157,0.00220862
158,0.00162966
159,0.00161285
160,0.00266235
161,0.00157321
162,0.00162336
163,0.00164077
164,0.001663
165,0.00159393
166,0.00160894
167,0.00157651
168,0.00173266
169,0.00172455
170,0.00164888
171,0.00163957
172,0.00167411
173,0.00161405
174,0.00164678
175,0.00179242
176,0.00168912
177,0.00173987
178,0.00160804
179,0.00151736
180,0.00165249
181,0.00160714
182,0.00169513
183,0.00175939
184,0.00176209
185,0.00170954
186,0.0017696
187,0.00164678
188,0.00160654
189,0.0016729
190,0.00164798
191,0.00174497
192,0.00172816
193,0.00176089
194,0.00165309
195,0.00169783
196,0.00171825
197,0.052966
198,0.00567274
199,0.00280589
200,0.0026044
201,0.00158582
202,0.00159963
203,0.00161675
204,0.00153147
205,0.00167771
206,0.00183026
207,0.0016726
208,0.00171825
209,0.00173657
210,0.00176299
211,0.00170113
212,0.0533585
213,0.00380735
214,0.00387131
215,0.00283051
216,0.00239179
217,0.00266355
218,0.00234315
219,0.00231252
220,0.00230561
221,0.00237107
222,0.00249479
223,0.0530465
224,0.0045848
225,0.00402716
226,0.00319446
227,0.0534717
228,0.0530459
229,0.00301129
230,0.00307405
231,0.00330857
232,0.0029233
233,0.00313471
234,0.00325963
235,0.0030245
236,0.00224405
237,0.00192214
238,0.00201914
239,0.00189452
240,0.00163177
241,0.00163837
242,0.00171044
243,0.00216988
244,0.00160804
245,0.00173837
246,0.00164708
247,0.00165549
248,0.00159393
249,0.0016648
250,0.00161195
251,0.00160504
252,0.00175488
253,0.00161435
254,0.00182905
255,0.00168792
256,0.00162576
257,0.00158852
258,0.00159723
259,0.00181704
260,0.00186899
261,0.0510144
262,0.00369414
263,0.00369414
264,0.00334461
265,0.00325272
266,0.00321879
267,0.00300318
268,0.00300919
269,0.00309147
270,0.00226597
271,0.00195157
272,0.00164318
273,0.00158912
274,0.00161885
275,0.00180954
276,0.00179782
277,0.0528804
278,0.00442204
279,0.0549005
280,0.00423196
281,0.00411755
282,0.00434787
283,0.00207409
284,0.00212574
285,0.0028104
286,0.00164378
287,0.00164588
288,0.00157201
289,0.00162636
290,0.00159543
291,0.00163627
292,0.0542155
293,0.0542672
294,0.00374009
295,0.00382327
296,0.00409323
297,0.00211643
298,0.002084
299,0.00215727
300,0.00209751
301,0.00207919
302,0.00217709
303,0.00214766
304,0.00200803
305,0.00215637
306,0.00214916
307,0.00215126
308,0.00240891
309,0.00163297
310,0.0518354
311,0.0018798
312,0.0537543
313,0.00473434
314,0.00388032
315,0.00383618
316,0.00210142
317,0.00223414
318,0.00217228
319,0.00207709
320,0.00203415
321,0.00213595
322,0.00209721
323,0.00233804
324,0.00215697
325,0.00211042
326,0.00199211
327,0.00203805
328,0.00202484
329,0.00165609
330,0.00161975
331,0.00170143
332,0.00181644
333,0.00163056
334,0.00157111
335,0.0015588
336,0.00168582
337,0.00152877
338,0.00157411
339,0.00159093
340,0.0016645
341,0.00166179
342,0.00159453
343,0.00169573
344,0.00163237
345,0.00162756
346,0.00165038
347,0.00160534
348,0.0529948
349,0.00419142
350,0.00275514
351,0.0028116
352,0.00157501
353,0.00165999
354,0.00154768
355,0.00200683
356,0.00165549
357,0.00168822
358,0.00159483
359,0.054005
360,0.00412866
361,0.00409473
362,0.00285814
363,0.00244254
364,0.00167351
365,0.00155279
366,0.00157201
367,0.00171555
368,0.00162636
369,0.00169873
370,0.00159093
371,0.00157231
372,0.0539825
373,0.00539017
374,0.00435808
375,0.00264073
376,0.0026053
377,0.00233624
378,0.00245906
379,0.00247047
380,0.00179272
381,0.00152787
382,0.00157141
383,0.0015684
384,0.00165879
385,0.00161105
386,0.00164408
387,0.001666
388,0.00170924
389,0.00159483
390,0.00164167
391,0.00164348
392,0.00162546
393,0.0016648
394,0.00168131
395,0.00163807
396,0.00160324
397,0.00162336
398,0.00160114
399,0.00164738
400,0.00214796
401,0.00179752
402,0.00165669
403,0.00176629
404,0.00160864
405,0.00175909
406,0.00163957
407,0.00160144
408,0.00159093
409,0.0516706
410,0.00340256
411,0.00439592
412,0.00424577
413,0.00428961
414,0.00274523
415,0.00235606
416,0.00191944
417,0.00154528
418,0.00162276
419,0.00174648
420,0.00158762
421,0.00173506
422,0.0531789
423,0.00401575
424,0.00398242
425,0.00267677
426,0.00255395
427,0.00257407
428,0.00248488
429,0.00247167
430,0.00237077
431,0.00239029
432,0.00170203
433,0.00170894
434,0.00161855
435,0.0533291
436,0.00415118
437,0.00351968
438,0.0547401
439,0.00409593
440,0.00370676
441,0.00356742
442,0.00379804
443,0.00413587
444,0.0021867
445,0.00212754
446,0.00201553
447,0.00215367
448,0.00207199
449,0.0021897
450,0.00216358
451,0.00213205
452,0.00212484
453,0.0020885
454,0.00204496
455,0.00180083
456,0.00172215
457,0.00165218
458,0.00154979
459,0.001569
460,0.001566
461,0.0514324
462,0.00189302
463,0.00164258
464,0.0015624
465,0.00157501
466,0.00177921
467,0.00166029
468,0.00167801
469,0.00163537
470,0.00177831
471,0.00166239
472,0.0017684
473,0.00166089
474,0.00165999
475,0.00197259
476,0.001669
477,0.0536762
478,0.00424037
479,0.00382567
480,0.00249029
481,0.00246687
482,0.00263833
483,0.0530612
484,0.00371276
485,0.00320287
486,0.00327945
487,0.0017774
488,0.00165158
489,0.00165399
490,0.0015684
491,0.00155129
492,0.00173566
493,0.00210772
494,0.00175428
495,0.0525945
496,0.004065
497,0.00310468
498,0.0153309
499,0.00233264
500,0.00174257
501,0.00161675
502,0.00165699
503,0.00167681
504,0.00171494
505,0.00173176
506,0.0515324
507,0.00425718
508,0.00381576
509,0.00456648
510,0.00435268
511,0.0029161
512,0.00259329
513,0.00164047
514,0.00160414
515,0.00167621
516,0.00183296
517,0.00165699
518,0.00159903
519,0.00156961
520,0.00157982
521,0.00207079
522,0.00164228
523,0.00164768
524,0.00181584
525,0.00167741
526,0.00160684
527,0.0522732
528,0.00184017
529,0.00161825
530,0.00159603
531,0.00167921
532,0.00160834
533,0.00160714
534,0.0016702
535,0.00163056
536,0.00161645
537,0.00160954
538,0.00157801
539,0.0513072
540,0.00183506
541,0.00153447
542,0.00158882
543,0.00164798
544,0.00176659
545,0.00162516
546,0.00162486
547,0.00186599
548,0.00162726
549,0.00166149
550,0.00160894
551,0.00162666
552,0.0526345
553,0.00408872
554,0.00372177
555,0.00305513
556,0.0540711
557,0.00369474
558,0.00353349
559,0.00285214
560,0.00297435
561,0.00293381
562,0.00298396
563,0.00195908
564,0.00199962
565,0.00199662
566,0.0523423
567,0.00218009
568,0.00199271
569,0.00215697
570,0.00195728
571,0.00203265
572,0.00235696
573,0.00221132
574,0.0545939
575,0.00391185
576,0.00369775
577,0.00283172
578,0.00276085
579,0.00180173
580,0.00175939
581,0.00169483
582,0.0016651
583,0.00161795
584,0.0015624
585,0.00157591
586,0.00168522
587,0.00178161
588,0.00160564
589,0.00161525
590,0.00170594
591,0.0529999
592,0.0037509
593,0.0538053
594,0.00392386
595,0.00451273
596,0.0539293
597,0.00348785
598,0.00313411
599,0.00390975
600,0.00161555
601,0.00159723
602,0.00165459
603,0.00162696
604,0.00163987
605,0.00158642
606,0.00201403
607,0.00169573
608,0.00162095
609,0.00170443
