Mean time,Standard deviation
0.00440958,0.0112391

Raw measurements

Timestamp,Measurement
1,0.00467939
2,0.00225907
3,0.00380675
4,0.011359
5,0.00185608
6,0.00182425
7,0.00179903
8,0.00152546
9,0.00155789
10,0.00165879
11,0.00206028
12,0.00181794
13,0.00201734
14,0.00332989
15,0.00171374
16,0.00170203
17,0.00185188
18,0.00257767
19,0.00316203
20,0.00390555
21,0.00210742
22,0.00315272
23,0.00160294
24,0.00478809
25,0.00449892
26,0.00223655
27,0.00183656
28,0.00190983
29,0.00192905
30,0.00194316
31,0.00204046
32,0.00196448
33,0.00199361
34,0.00195397
35,0.00196058
36,0.00195758
37,0.0018738
38,0.00154438
39,0.00158732
40,0.0021909
41,0.00172395
42,0.00204646
43,0.00184257
44,0.00191314
45,0.00183926
46,0.00154678
47,0.00158942
48,0.00198971
49,0.00221793
50,0.00213865
51,0.00213775
52,0.052051
53,0.00190773
54,0.00215637
55,0.0522913
56,0.00199932
57,0.00262181
58,0.00211823
59,0.00216838
60,0.00204166
61,0.00213955
62,0.00206868
63,0.00195668
64,0.00195788
65,0.0515231
66,0.0519357
67,0.00198671
68,0.00166269
69,0.00175338
70,0.0017723
71,0.00162095
72,0.00184107
73,0.0521096
74,0.00212544
75,0.00207529
76,0.0019786
77,0.0512339
78,0.00215066
79,0.00195427
80,0.00189872
81,0.00191344
82,0.00185608
83,0.00215337
84,0.00216958
85,0.00192244
86,0.0018759
87,0.00185068
88,0.00158342
89,0.0015588
90,0.00154558
91,0.00340587
92,0.00193686
93,0.0018804
94,0.0021885
95,0.00195998
96,0.00196508
97,0.00188941
98,0.00889423
99,0.00171404
100,0.0016636
101,0.00164198
102,0.00179722
103,0.0018765
104,0.00169002
105,0.00148673
106,0.00151736
107,0.00188641
108,0.00193926
109,0.00190082
110,0.0018807
111,0.0509568
112,0.00199091
113,0.00184197
114,0.00192154
115,0.00198911
116,0.00211343
117,0.00200412
118,0.00193986
119,0.00191494
120,0.00194256
121,0.00322329
122,0.00167621
123,0.00190232
124,0.00154648
125,0.00150985
126,0.00182515
127,0.00214015
128,0.00195908
129,0.00206388
130,0.00384249
131,0.00167471
132,0.0528564
133,0.00390374
134,0.00359024
135,0.00372177
136,0.0517688
137,0.0548116
138,0.00430823
139,0.00355871
140,0.00439171
141,0.00203926
142,0.00207589
143,0.00167801
144,0.00160384
145,0.00163687
146,0.00168792
147,0.00161885
148,0.0016654
149,0.00164918
150,0.00232453
151,0.0016639
152,0.00149513
153,0.00152726
154,0.00159213
155,0.00155459
156,0.00158342
157,0.00157651
158,0.00158282
159,0.00160024
160,0.00153537
161,0.00154829
162,0.00158192
163,0.0518805
164,0.00399263
165,0.00380045
